100: 25.000, 0.012519, 50757260, 45876762, 41516006
101: 25.250, 0.013212, 51089044, 46065421, 41591314
102: 25.500, 0.014397, 51391984, 46222963, 41653624
103: 25.750, 0.017110, 51789920, 46393292, 41710326
104: 26.000, 0.020166, 52082448, 46500936, 41761604
105: 26.250, 0.023769, 52364466, 46605824, 41841714
106: 26.500, 0.025148, 52752774, 46796473, 41893722
107: 26.750, 0.022317, 52954282, 46984218, 41950350
108: 27.000, 0.018807, 52920374, 47068225, 42006078
109: 27.250, 0.018015, 52945224, 47091234, 41993778
110: 27.500, 0.016697, 52945024, 47136311, 42029378
111: 27.750, 0.016186, 53003200, 47211269, 42100768
112: 28.000, 0.019934, 53267640, 47287466, 42147476
113: 28.250, 0.024758, 53379554, 47267923, 42201106
114: 28.500, 0.026701, 53512668, 47314917, 42245172
115: 28.750, 0.024872, 53543336, 47388769, 42285928
116: 29.000, 0.023913, 53596176, 47451459, 42318702
117: 29.250, 0.020997, 53571026, 47522871, 42364232
118: 29.500, 0.016806, 53493876, 47574097, 42366346
119: 29.750, 0.015429, 53500098, 47618908, 42391782
120: 30.000, 0.008824, 53284110, 47660569, 42411262
121: 30.250, 0.007732, 53269636, 47690241, 42438966
122: 30.500, 0.005496, 53268156, 47742295, 42449736
123: 30.750, 0.003180, 53281228, 47796452, 42446672
124: 31.000, 101.175270, 53246918, 47859299, 42450554
125: 31.250, 101.186523, 53291800, 47887023, 42445680
126: 31.500, 101.208244, 53313720, 47907516, 42436286
127: 31.750, 101.289116, 53349750, 47980040, 42400980
128: 32.000, 101.358971, 53441200, 48048916, 42371010
129: 32.250, 101.381218, 53531160, 48084268, 42361806
130: 32.500, 101.463593, 53484296, 48110543, 42326084
131: 32.750, 101.463921, 53443034, 48127000, 42325210
132: 33.000, 101.540009, 53592960, 48116670, 42294872
133: 33.250, 0.000867, 53925124, 48093979, 42299498
134: 33.500, 0.001094, 54025988, 48129964, 42280190
135: 33.750, 0.003405, 54111472, 48119379, 42271240
136: 34.000, 0.002277, 54164130, 48143851, 42219696
137: 34.250, 0.005799, 54340914, 48140274, 42184252
138: 34.500, 0.010066, 54508098, 48120253, 42156750
139: 34.750, 0.005452, 54304212, 48103339, 42132190
140: 35.000, 102.125328, 53917784, 48079820, 42054008
141: 35.250, 102.216187, 53683030, 48039874, 42014726
142: 35.500, 102.373840, 53515022, 48034340, 41947840
143: 35.750, 102.502670, 53435192, 48046910, 41893564
144: 36.000, 102.625404, 53209312, 47999217, 41841684
145: 36.250, 102.780502, 53022592, 47914236, 41777762
146: 36.500, 102.919060, 52653752, 47844895, 41718704
147: 36.750, 103.052063, 52260006, 47755737, 41662224
148: 37.000, 103.168694, 51747832, 47706009, 41610622
149: 37.250, 103.286957, 51327960, 47654183, 41559424
150: 37.500, 103.430023, 51065064, 47623877, 41499402
151: 37.750, 103.553612, 50980598, 47536009, 41450282
152: 38.000, 103.809242, 50907902, 47481614, 41347566
153: 38.250, 104.040634, 50786018, 47333018, 41256414
154: 38.500, 104.195084, 50564552, 47279503, 41193560
155: 38.750, 104.322403, 50145164, 47148103, 41141284
156: 39.000, 104.533661, 49810336, 47009006, 41056788
157: 39.250, 104.742836, 49517504, 46906580, 40973160
158: 39.500, 104.961487, 49265154, 46807003, 40886472
159: 39.750, 105.264900, 49057564, 46675427, 40768024
160: 40.000, 105.507942, 48750994, 46560026, 40672488
161: 40.250, 105.768585, 48447896, 46432587, 40570844
162: 40.500, 105.910172, 48204726, 46250767, 40517240
163: 40.750, 106.160339, 47740392, 46032832, 40420580
164: 41.000, 106.309196, 47280744, 45840749, 40362730
165: 41.250, 106.527802, 46867202, 45689851, 40278058
166: 41.500, 106.824936, 46574590, 45477869, 40166204
167: 41.750, 107.072144, 46576730, 45269501, 40076542
168: 42.000, 107.314949, 46481070, 45002312, 39989146
169: 42.250, 107.518257, 46283494, 44761551, 39915484
170: 42.500, 107.841469, 45949028, 44536095, 39795824
171: 42.750, 108.155609, 45801744, 44230093, 39683492
172: 43.000, 108.399437, 45632308, 43937138, 39597276
173: 43.250, 108.700569, 45275930, 43744799, 39486822
174: 43.500, 108.982300, 45073082, 43490098, 39386642
175: 43.750, 109.277618, 45027870, 43292137, 39282458
176: 44.000, 109.612587, 44929958, 43103176, 39163884
177: 44.250, 109.929115, 44642784, 42856375, 39051974
178: 44.500, 110.306641, 44285152, 42602889, 38918466
